City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,54.09,70,100,15.28,overcast clouds
1,Punta Arenas,CL,-53.15,-70.9167,37.51,56,40,9.19,scattered clouds
2,Kaeo,NZ,-35.1,173.7833,50.32,96,83,12.73,moderate rain
3,Hoi An,VN,15.8794,108.335,87.76,83,98,4.63,overcast clouds
4,Winnemucca,US,40.973,-117.7357,69.12,20,1,6.24,clear sky
5,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,80.85,77,79,11.9,broken clouds
6,Anahuac,MX,27.2333,-100.15,83.7,63,81,17.2,broken clouds
7,Vostok,RU,46.4856,135.8833,43.16,77,97,3.22,overcast clouds
8,Geraldton,AU,-28.7667,114.6,57.61,88,40,16.53,scattered clouds
9,Ust-Ishim,RU,57.6935,71.1665,63.77,66,57,6.2,broken clouds
10,Ushuaia,AR,-54.8,-68.3,31.62,100,90,9.22,light snow
11,Chuy,UY,-33.6971,-53.4616,54.7,48,3,12.5,clear sky
12,Cayenne,GF,4.9333,-52.3333,84.24,85,75,5.01,broken clouds
13,Mataura,NZ,-46.1927,168.8643,49.48,98,100,3.67,moderate rain
14,Clyde River,CA,70.4692,-68.5914,29.97,81,92,1.99,overcast clouds
15,Chokurdakh,RU,70.6333,147.9167,50.81,48,22,9.46,few clouds
16,Nanortalik,GL,60.1432,-45.2371,36.97,88,97,15.86,overcast clouds
17,Martapura,ID,-3.4167,114.85,77.09,94,96,2.21,overcast clouds
18,Dikson,RU,73.5069,80.5464,31.69,92,100,13.13,overcast clouds
19,Yellowknife,CA,62.456,-114.3525,43.29,55,100,11.01,overcast clouds
20,Mirante Do Paranapanema,BR,-22.2919,-51.9064,75.13,33,97,7.4,overcast clouds
21,Honiara,SB,-9.4333,159.95,76.33,89,54,3.62,broken clouds
22,Airai,TL,-8.9266,125.4092,58.87,91,99,1.92,overcast clouds
23,Santa Maria Da Vitoria,BR,-13.3947,-44.1886,92.44,20,77,7.99,broken clouds
24,Puerto Ayora,EC,-0.7393,-90.3518,80.56,84,82,5.99,broken clouds
25,Mayo,US,38.8876,-76.5119,54.43,89,90,10.0,overcast clouds
26,Iqaluit,CA,63.7506,-68.5145,34.7,69,100,13.0,overcast clouds
27,East London,ZA,-33.0153,27.9116,61.63,51,22,5.28,few clouds
28,Corner Brook,CA,48.9667,-57.9484,64.56,42,19,7.31,few clouds
29,Tautira,PF,-17.7333,-149.15,77.02,78,92,16.15,light rain
30,Dordrecht,NL,51.81,4.6736,75.06,46,3,5.99,clear sky
31,Okitipupa,NG,6.5047,4.7839,84.61,75,85,6.33,light rain
32,Bluff,NZ,-46.6,168.3333,49.8,95,100,21.74,light rain
33,Qaanaaq,GL,77.484,-69.3632,32.36,90,100,5.68,overcast clouds
34,Balakhninskiy,RU,58.0106,114.2769,36.97,100,100,3.69,light rain
35,Provideniya,RU,64.3833,-173.3,40.37,58,2,10.92,clear sky
36,Mahibadhoo,MV,3.7833,72.9667,83.84,74,75,20.45,broken clouds
37,Jamestown,US,42.097,-79.2353,61.07,56,40,8.01,scattered clouds
38,Itarema,BR,-2.9248,-39.9167,87.06,55,5,13.42,clear sky
39,Longyearbyen,SJ,78.2186,15.6401,33.64,80,75,2.3,broken clouds
40,Tiksi,RU,71.6872,128.8694,30.87,95,6,7.85,clear sky
41,Guayaramerin,BO,-10.8368,-65.3614,89.65,55,40,2.42,scattered clouds
42,Souillac,MU,-20.5167,57.5167,74.35,78,10,7.11,clear sky
43,Kapaa,US,22.0752,-159.319,69.78,88,1,3.49,clear sky
44,Husavik,IS,66.0449,-17.3389,55.31,48,90,18.59,overcast clouds
45,Ardakan,IR,32.31,54.0175,95.38,6,5,9.73,clear sky
46,Port Hedland,AU,-20.3167,118.5667,68.05,83,75,8.05,broken clouds
47,Saint-Francois,FR,46.4154,3.9054,72.84,33,0,8.05,clear sky
48,Khorixas,NA,-20.3667,14.9667,78.15,16,97,4.32,overcast clouds
49,Albany,US,42.6001,-73.9662,49.35,90,100,4.61,moderate rain
50,Langxiang,CN,46.95,128.8833,46.92,95,97,1.83,overcast clouds
51,Gillette,US,44.2911,-105.5022,60.82,44,1,1.99,clear sky
52,Comodoro Rivadavia,AR,-45.8667,-67.5,44.85,67,100,7.72,overcast clouds
53,Victoria,HK,22.2855,114.1577,87.33,87,98,5.99,overcast clouds
54,Baiyin,CN,36.5583,104.2081,68.88,40,63,22.06,broken clouds
55,Aksay,RU,47.26,39.87,70.25,62,98,11.01,overcast clouds
56,Ternate,ID,0.8,127.4,81.73,80,100,7.38,overcast clouds
57,Sisimiut,GL,66.9395,-53.6735,36.34,81,63,7.7,broken clouds
58,Isangel,VU,-19.55,169.2667,70.3,76,100,5.01,overcast clouds
59,Denpasar,ID,-8.65,115.2167,78.46,94,20,1.88,few clouds
60,Rikitea,PF,-23.1203,-134.9692,74.25,83,100,17.16,moderate rain
61,Tommot,RU,58.9564,126.2925,49.23,76,31,3.38,scattered clouds
62,Benguela,AO,-12.5763,13.4055,82.11,58,2,10.54,clear sky
63,Mar Del Plata,AR,-38.0023,-57.5575,57.09,44,0,1.99,clear sky
64,Brainerd,US,46.358,-94.2008,64.65,72,90,9.22,overcast clouds
65,Arraial Do Cabo,BR,-22.9661,-42.0278,78.66,78,75,11.5,broken clouds
66,Port Alfred,ZA,-33.5906,26.891,58.95,61,16,6.93,few clouds
67,Bredasdorp,ZA,-34.5322,20.0403,54.28,72,100,2.66,overcast clouds
68,Georgetown,MY,5.4112,100.3354,85.89,73,20,3.51,few clouds
69,San Salvador El Seco,MX,19.1333,-97.65,66.7,49,7,0.81,clear sky
70,Folkestone,GB,51.0833,1.1833,62.19,76,2,13.0,clear sky
71,Bonthe,SL,7.5264,-12.505,81.46,80,100,8.19,light rain
72,Itaituba,BR,-4.2761,-55.9836,93.36,59,20,11.5,few clouds
73,Barrow,US,71.2906,-156.7887,30.22,93,90,10.36,overcast clouds
74,Sergeyevka,KZ,53.88,67.4158,72.79,41,2,10.16,clear sky
75,Hermanus,ZA,-34.4187,19.2345,60.91,78,75,2.46,broken clouds
76,Torbay,CA,47.6666,-52.7314,60.89,52,50,3.02,scattered clouds
77,New Norfolk,AU,-42.7826,147.0587,39.7,85,33,2.98,scattered clouds
78,Boyuibe,BO,-20.4167,-63.2833,62.51,42,100,7.72,overcast clouds
79,Carnduff,CA,49.1667,-101.8009,63.37,42,7,14.43,clear sky
80,Belmonte,BR,-15.8631,-38.8828,82.9,63,31,7.74,scattered clouds
81,Chiredzi,ZW,-21.05,31.6667,71.51,23,1,5.73,clear sky
82,Najran,SA,17.4924,44.1277,93.85,12,5,7.2,clear sky
83,Port Shepstone,ZA,-30.7414,30.455,63.43,71,7,16.17,clear sky
84,Sarandi,BR,-23.4436,-51.8739,62.15,100,75,5.75,heavy intensity rain
85,Stornoway,GB,58.2093,-6.3865,64.92,63,20,11.5,few clouds
86,Upernavik,GL,72.7868,-56.1549,31.71,94,100,7.7,overcast clouds
87,Kamina,CD,-8.7386,24.9906,68.41,37,38,4.09,scattered clouds
88,La Ronge,CA,55.1001,-105.2842,52.92,46,3,2.28,clear sky
89,Nishihara,JP,26.1842,127.7558,75.25,94,90,14.16,light rain
90,Pisco,PE,-13.7,-76.2167,65.01,94,90,6.91,overcast clouds
91,Tigil,RU,57.8,158.6667,34.68,84,24,2.26,few clouds
92,Port Macquarie,AU,-31.4333,152.9167,55.36,77,87,11.43,overcast clouds
93,Sabha,LY,27.0377,14.4283,107.87,5,6,8.14,clear sky
94,Moose Factory,CA,51.2585,-80.6094,69.8,19,1,14.97,clear sky
95,Kabinda,CD,-6.1333,24.4833,77.77,36,50,2.62,scattered clouds
96,Kavaratti,IN,10.5669,72.642,83.75,75,99,18.81,overcast clouds
97,Santa Maria,BR,-29.6842,-53.8069,54.7,47,0,4.0,clear sky
98,Gannavaram,IN,16.5333,80.8,91.38,62,20,1.14,few clouds
